iter	Logloss
0	0.6477592012
1	0.5985163282
2	0.5525558392
3	0.5129116131
4	0.4676245057
5	0.4345737153
6	0.398296286
7	0.3773906815
8	0.3493266464
9	0.3291554723
10	0.3112146707
11	0.2941119465
12	0.2817245259
13	0.2669725651
14	0.250884475
15	0.2351637913
16	0.2250733235
17	0.2147290729
18	0.2041716543
19	0.1969234519
20	0.1881352303
21	0.1823512741
22	0.1749355074
23	0.1677771415
24	0.1592027309
25	0.1530718926
26	0.1484352897
27	0.1411715715
28	0.1334334581
29	0.1282808388
30	0.1236443677
31	0.1187062361
32	0.1139577027
33	0.1089138508
34	0.1040865377
35	0.1001254199
36	0.09586206126
37	0.09328207057
38	0.08941658933
39	0.08683481714
40	0.08496165592
41	0.08269756731
42	0.07965529496
43	0.076814836
44	0.07494087549
45	0.07227356066
46	0.0709231707
47	0.06855167294
48	0.06645828892
49	0.06468977244
50	0.06266423418
51	0.0601863016
52	0.05820686995
53	0.05694350482
54	0.05590294068
55	0.05426213636
56	0.05171276117
57	0.05054681928
58	0.04854371225
59	0.04732813057
60	0.04640884021
61	0.0448374563
62	0.04335831714
63	0.04221725409
64	0.04135856045
65	0.04042865444
66	0.03959215879
67	0.0382511847
68	0.03706815866
69	0.03615971245
70	0.03547473027
71	0.03466771472
72	0.0340628315
73	0.03347461876
74	0.0329222145
75	0.0319726346
76	0.03138255571
77	0.03097312232
78	0.0302535399
79	0.02935062069
80	0.02900437336
81	0.02855751499
82	0.02791051992
83	0.02703328016
84	0.02671724619
85	0.02628704296
86	0.02564191395
87	0.02515472036
88	0.02463356632
89	0.02422417538
90	0.02373033358
91	0.02329010795
92	0.02285033012
93	0.0223750231
94	0.02204699385
95	0.02160763244
96	0.02121323281
97	0.02089386524
98	0.02042397455
99	0.02010985419
100	0.01971534075
101	0.01935501649
102	0.01907704646
103	0.01860287569
104	0.01840677594
105	0.01815669068
106	0.017911389
107	0.01758531669
108	0.01718498288
109	0.01688474889
110	0.01667634622
111	0.01629321751
112	0.01603328964
113	0.01580449294
114	0.01563684904
115	0.01539394571
116	0.01519023622
117	0.01485184342
118	0.01460761592
119	0.01441212779
120	0.01424840585
121	0.01405792426
122	0.01377321011
123	0.01366852368
124	0.01352684811
125	0.01330205923
126	0.01315972579
127	0.01304247359
128	0.01289371053
129	0.01275847694
130	0.01257648383
131	0.01244030722
132	0.0122404001
133	0.01212443208
134	0.01191962076
135	0.01175743831
136	0.01157595036
137	0.01141241657
138	0.01124904501
139	0.01113580602
140	0.01103244994
141	0.0109231343
142	0.01080422715
143	0.0107001861
144	0.01056088943
145	0.01044420384
146	0.01034844827
147	0.01024941657
148	0.01014666248
149	0.01002230924
150	0.009929183999
151	0.009834649614
152	0.009748403556
153	0.009609383199
154	0.009541023737
155	0.009453740672
156	0.009343894439
157	0.009252891838
158	0.009178389645
159	0.009078355501
160	0.009001154945
161	0.008907326428
162	0.008829201143
163	0.008765188123
164	0.00868000051
165	0.008595879952
166	0.008503864509
167	0.008451358776
168	0.008353482485
169	0.008284288199
170	0.008224312725
171	0.008155649881
172	0.00809808828
173	0.008039885696
174	0.007986825859
175	0.007928248361
176	0.007874707418
177	0.007809037752
178	0.007761614076
179	0.007706370785
180	0.007648560548
181	0.00757259757
182	0.007524017469
183	0.007471929692
184	0.007404264105
185	0.007349847749
186	0.007289491021
187	0.00723087213
188	0.00719019715
189	0.007146235976
190	0.007104669657
191	0.00704955923
192	0.006994629956
193	0.006953866641
194	0.006902259924
195	0.006849906182
196	0.006805548477
197	0.006766942844
198	0.006715784997
199	0.006672409727
200	0.006622791464
201	0.006581368337
202	0.00653296948
203	0.006485310587
204	0.006437343751
205	0.006383707054
206	0.006350152872
207	0.006304889066
208	0.006267389036
209	0.006224676442
210	0.006181807372
211	0.006139611183
212	0.00610883691
213	0.006067936108
214	0.006037857983
215	0.005997430852
216	0.005958792143
217	0.005913730804
218	0.005884735604
219	0.005846947568
220	0.005808942111
221	0.005776860821
222	0.005743400874
223	0.005706562562
224	0.00567054615
225	0.005636143073
226	0.005600760014
227	0.005566562997
228	0.005532455542
229	0.00550744959
230	0.005474372497
231	0.005449631241
232	0.005411975522
233	0.00537937169
234	0.005347643219
235	0.005311515825
236	0.005288349705
237	0.005257721894
238	0.005227243199
239	0.005192566802
240	0.00517031012
241	0.005136414094
242	0.005108413728
243	0.005080598698
244	0.005053088101
245	0.005026086563
246	0.005005259998
247	0.004978469643
248	0.004952076559
249	0.004926065296
250	0.004899369719
251	0.004873647182
252	0.004848562909
253	0.004829048641
254	0.004804522492
255	0.004780116023
256	0.004755989781
257	0.004732225211
258	0.004708513928
259	0.004684942467
260	0.004661618173
261	0.004639143108
262	0.004616232075
263	0.004597846593
264	0.004575715669
265	0.004553745095
266	0.004531750803
267	0.004510262121
268	0.004488948255
269	0.004467676724
270	0.00444646883
271	0.004425879682
272	0.004405491193
273	0.004385240648
274	0.004368681826
275	0.004348875763
276	0.004329004471
277	0.00430861427
278	0.004289005906
279	0.004269137525
280	0.004250487832
281	0.004231010384
282	0.004212220447
283	0.0041933314
284	0.004175035441
285	0.004156284896
286	0.004138371013
287	0.004119851332
288	0.004102416838
289	0.0040844249
290	0.004066620676
291	0.004049108112
292	0.00403209166
293	0.004015161703
294	0.003997899841
295	0.003981205825
296	0.003965277282
297	0.003946939341
298	0.003930950539
299	0.003914451892
